id;label;keyword;is_system;action_page;history;composant;parameters
1;Via Louisiana Markets;Open-architected copy Portugal;false;Bedfordshire Unbranded;true;Plastic Music Electronics;../fake-data/blob/hipster.txt
2;Rufiyaa Customer;bus Markets;true;Field;false;radical Incredible Frozen Chicken customer loyalty;../fake-data/blob/hipster.txt
3;strategize Garden;digital;true;Human Fresh;false;Corporate Sharable capability;../fake-data/blob/hipster.txt
4;Concrete compressing payment;Division;false;magenta solid state;true;parse holistic copy;../fake-data/blob/hipster.txt
5;Strategist deposit Mouse;action-items task-force;true;capacitor haptic Denar;false;Regional task-force;../fake-data/blob/hipster.txt
6;index Program synthesize;Executive back-end Towels;true;Mississippi quantify Investment Account;false;mobile e-markets vortals;../fake-data/blob/hipster.txt
7;Sleek withdrawal;Savings Account;false;auxiliary;false;Small Granite Car;../fake-data/blob/hipster.txt
8;bluetooth;Iraq Enhanced Practical;true;incubate Personal Loan Account projection;true;panel Consultant Jersey;../fake-data/blob/hipster.txt
9;Home Loan Account integrated;Officer;false;Internal Tools protocol;false;lime;../fake-data/blob/hipster.txt
10;Awesome;Gorgeous auxiliary;true;Triple-buffered Product;true;Auto Loan Account Automotive;../fake-data/blob/hipster.txt
