id;identifier;scoring;subject;amount;delay;payment;jhi_delayed;reimbursement;analyse;is_stop;is_deleted;start_date;en_date;created_date;updated_date;deleted_date;stoped_date;submission_date;type_id;status_id;client_id;compte_id
1;bluetooth;US Dollar Islands;National repurpose Forward;31834;91367;ANNUELLE;64363;CONSTANT;../fake-data/blob/hipster.txt;false;false;2020-11-08;2020-11-09;2020-11-08T14:54:45;2020-11-08T11:09:01;2020-11-08T18:27:47;2020-11-08T18:35:35;2020-11-08;1;1;1;1
2;Montana interface Internal;United Arab Emirates;networks Direct mobile;82011;37060;ANNUELLE;20316;DEGRESSIF;../fake-data/blob/hipster.txt;true;false;2020-11-09;2020-11-09;2020-11-08T15:15:27;2020-11-09T02:25:22;2020-11-09T03:43:12;2020-11-09T06:03:01;2020-11-09;2;2;2;2
3;Via adapter Movies;Cambridgeshire Borders;Supervisor deposit;69509;45500;TRIMESTRIELLE;66124;CONSTANT;../fake-data/blob/hipster.txt;false;true;2020-11-09;2020-11-08;2020-11-08T13:22:29;2020-11-08T12:19:14;2020-11-08T11:33:28;2020-11-08T20:41:14;2020-11-09;3;3;3;3
4;Convertible Marks;input Investment Account navigate;Music exuding Reverse-engineered;41073;38341;MENSUELLE;96023;CONSTANT;../fake-data/blob/hipster.txt;true;true;2020-11-08;2020-11-09;2020-11-08T13:58:35;2020-11-09T07:19:07;2020-11-09T01:37:38;2020-11-09T09:20:12;2020-11-09;4;4;4;4
5;reboot Frozen;software bluetooth Pizza;Surinam Dollar visualize Devolved;4632;33124;TRIMESTRIELLE;60552;CONSTANT;../fake-data/blob/hipster.txt;true;false;2020-11-08;2020-11-08;2020-11-08T21:47:58;2020-11-08T12:28:31;2020-11-08T18:01:31;2020-11-09T09:17:12;2020-11-09;5;5;5;5
6;lime e-tailers;JSON Vermont Shoes;optical Function-based;71568;99760;TRIMESTRIELLE;33124;CONSTANT;../fake-data/blob/hipster.txt;false;true;2020-11-08;2020-11-08;2020-11-09T06:29:26;2020-11-08T14:24:04;2020-11-09T09:27:19;2020-11-08T14:17:59;2020-11-09;6;6;6;6
7;viral extranet;Avon Manat;enable;10779;15676;ANNUELLE;74350;CONSTANT;../fake-data/blob/hipster.txt;false;true;2020-11-08;2020-11-08;2020-11-08T22:15:52;2020-11-08T17:23:18;2020-11-08T11:57:11;2020-11-08T18:25:06;2020-11-08;7;7;7;7
8;e-markets Granite;Specialist Metical;Group Outdoors Isle;20670;3601;ANNUELLE;38308;CONSTANT;../fake-data/blob/hipster.txt;true;true;2020-11-09;2020-11-09;2020-11-09T03:05:37;2020-11-09T03:50:50;2020-11-08T18:53:37;2020-11-09T06:18:30;2020-11-08;8;8;8;8
9;pink Dynamic Metrics;RAM Avon;revolutionize navigate multi-byte;84343;5612;SEMESTRIELLE;61392;DEGRESSIF;../fake-data/blob/hipster.txt;false;false;2020-11-08;2020-11-08;2020-11-09T02:44:26;2020-11-09T01:57:49;2020-11-08T22:52:57;2020-11-09T04:22:41;2020-11-08;9;9;9;9
10;Tools function;Armenian Dram Paradigm;Kids synthesize backing up;61856;3654;TRIMESTRIELLE;22585;CONSTANT;../fake-data/blob/hipster.txt;true;true;2020-11-08;2020-11-08;2020-11-09T01:28:24;2020-11-08T15:04:27;2020-11-08T10:51:59;2020-11-08T16:29:49;2020-11-08;10;10;10;10
