id;label;is_enabled;process_delay;delay_1;delay_2
1;haptic maximize Ergonomic Concrete Bacon;true;99964;93923;12677
2;Nuevo Sol;true;34881;31476;78803
3;Credit Card Account Rustic Plastic Fish;true;11743;73979;5995
4;Rubber web-readiness Guyana;false;99674;68551;99735
5;Handcrafted;false;19572;96206;18222
6;Mission;false;15771;54790;36038
7;Senior Singapore Dollar Practical;true;74692;53886;15301
8;Brand Chicken;false;24577;47469;28445
9;Causeway;false;89291;75855;65499
10;overriding Wisconsin redefine;false;86062;46629;89652
