id;label;identifier;scoring_id
1;Czech Koruna;tan Fantastic;1
2;Team-oriented Belgium;intranet navigate;2
3;Generic Frozen Chicken feed Plastic;grid-enabled Sleek Granite Chair;3
4;complexity;Shoes Optimization Zimbabwe;4
5;Savings Account Industrial program;Cambridgeshire challenge;5
6;AGP optimizing Licensed;Rustic Steel Towels innovate;6
7;extensible Kyrgyz Republic utilize;Optimization Tasty Soft Table Pr;7
8;Ergonomic Plastic Shirt Bedfordshire Bedfordshire;Sleek Concrete Bacon Baby;8
9;Togo Wyoming ubiquitous;synergies RSS;9
10;withdrawal;viral robust;10
