id;label;is_system;img_filename;can_be_searched;can_be_modified;enabled
1;Tennessee TCP indigo;false;Soap;false;false;false
2;Generic SMS withdrawal;false;Savings Account Soap Associate;false;true;true
3;SSL;true;Sri Lanka Agent;true;false;false
4;Personal Loan Account optimize bus;false;pixel;false;false;true
5;digital;false;fresh-thinking Fiji Dollar;true;true;true
6;Industrial;true;Vanuatu syndicate;false;false;false
7;Bedfordshire Lead;false;integrated Garden primary;false;false;false
8;Accounts utilize;false;Springs Small Steel Keyboard South Georgia and the South Sandwich Islands;true;false;true
9;Rubber Handcrafted;true;Frozen convergence User-centric;false;true;true
10;Rufiyaa cultivate;false;definition drive harness;true;false;false
