id;label;identifier;delay;is_enabled
1;Gorgeous Berkshire Programmable;Shoes efficient;642;false
2;Refined Sausages;Salad Unbranded Beauty;45929;true
3;EXE;visionary;15363;false
4;Directives generate;sexy Gardens Borders;64833;true
5;Business-focused Turks and Caicos Islands Product;overriding;61008;true
6;Refined Fresh Tuna compressing e-business;New Caledonia multi-byte;37016;true
7;CFA Franc BEAC Springs Home Loan Account;Rustic Granite Sausages Cloned Networked;14471;true
8;navigate;Reduced;14547;false
9;digital Orchestrator Concrete;technologies hack Generic Granite Gloves;44004;true
10;Checking Account generate Ergonomic;TCP;79730;true
