id;identifier;label;short_label
1;Senior Club;Ouguiya Swiss Franc;pixel
2;matrix neural;New Israeli Sheqel;Tasty
3;Rhode Island payment;wireless;Brunei Darussalam New Jersey
4;Data maroon;e-business United Kingdom;Innovative Movies
5;infomediaries;Spring multi-byte;SSL Sleek Group
6;collaborative;feed Iceland Krona Strategist;XSS Frozen
7;Hollow;Rustic Rubber Hat Checking Account;connect
8;Product Shirt Concrete;Burundi Franc;Handmade Wooden Shoes
9;Strategist;payment Concrete;application
10;visualize neural-net;Car array;Digitized Cambridgeshire
